experiment_id,status,model_id,dataset_version,train_pairs,val_pairs,resolution,lora_rank,steps,seed,base_score,lora_score,notes
stylegen_base_m1,pending,black-forest-labs/FLUX.2-klein-base-4B,v1,,,512,0,0,2026,,,Run on the unseen test set before fine-tuning
stylegen_lora_m1,pending,black-forest-labs/FLUX.2-klein-base-4B,v1,,,512,32,400,2026,,,Use the same references prompts seeds and sizes as the baseline
